ICD11_Code,Title,Category,Description
2C25.0,Malignant neoplasm of bronchus or lung - squamous cell,肺癌-鳞癌,"Bronchial or lung squamous cell carcinoma"
2C25.1,Malignant neoplasm of bronchus or lung - small cell,肺癌-小细胞癌,"Small cell carcinoma of bronchus or lung"
2C25.2,Malignant neoplasm of bronchus or lung - adenocarcinoma,肺癌-腺癌,"Adenocarcinoma of bronchus or lung"
2C25.3,Malignant neoplasm of bronchus or lung - large cell,肺癌-大细胞癌,"Large cell carcinoma of bronchus or lung"
2C25.4,Malignant neoplasm of bronchus or lung - carcinoid,肺癌-类癌,"Carcinoid tumour of bronchus or lung"
2C25.5,Malignant neoplasm of bronchus or lung - other specified,肺癌-其他特指,"Other specified malignant neoplasm of bronchus or lung"
2C25.6,Malignant neoplasm of bronchus or lung - unspecified,肺癌-未特指,"Malignant neoplasm of bronchus or lung unspecified"
2C25.Y,Other specified malignant neoplasm of bronchus or lung,肺癌-其他,"Other specified malignant neoplasm of bronchus or lung"
2C25.Z,Malignant neoplasm of bronchus or lung unspecified,肺癌-未特指,"Malignant neoplasm of bronchus or lung unspecified"
2C26.0,Malignant neoplasm of pleura - mesothelioma,胸膜-间皮瘤,"Mesothelioma of pleura"
2C26.1,Malignant neoplasm of pleura - other specified,胸膜-其他,"Other specified malignant neoplasm of pleura"
2C26.2,Malignant neoplasm of pleura - unspecified,胸膜-未特指,"Malignant neoplasm of pleura unspecified"
2C27,Malignant neoplasm of mediastinum,纵隔恶性肿瘤,"Malignant neoplasm of mediastinum"
2C28,Malignant neoplasm of thymus,胸腺恶性肿瘤,"Malignant neoplasm of thymus"
2C29,Malignant neoplasm of heart or pericardium,心脏/心包恶性肿瘤,"Malignant neoplasm of heart or pericardium"
2C2A,Malignant neoplasm of other respiratory organs,其他呼吸器官恶性肿瘤,"Malignant neoplasm of other respiratory organs"
2C2B,Malignant neoplasm of ill-defined respiratory sites,呼吸系统未明确部位恶性肿瘤,"Malignant neoplasm of ill-defined respiratory sites"
2C2Y,Other specified malignant neoplasm of respiratory system,其他特指呼吸系统恶性肿瘤,"Other specified malignant neoplasm of respiratory system"
2C2Z,Malignant neoplasm of respiratory system unspecified,呼吸系统恶性肿瘤未特指,"Malignant neoplasm of respiratory system unspecified"
2D00,Malignant neoplasm of bone or articular cartilage of limbs,骨恶性肿瘤,"Malignant neoplasm of bone or articular cartilage"
2D01,Malignant neoplasm of bone or articular cartilage of other sites,其他骨恶性肿瘤,"Malignant neoplasm of bone or articular cartilage of other sites"
2D02,Malignant melanoma of skin,皮肤恶性黑色素瘤,"Malignant melanoma of skin"
2D03,Other malignant neoplasms of skin,其他恶性皮肤肿瘤,"Other malignant neoplasms of skin"
2E00.0,Malignant neoplasm of thyroid,甲状腺恶性肿瘤,"Malignant neoplasm of thyroid"
2E06.0,Malignant neoplasm without specification of site,未明确部位恶性肿瘤,"Malignant neoplasm without specification of site"
2F00,Neoplasm of uncertain behaviour of respiratory or intrathoracic organs,呼吸系统行为未定肿瘤,"Neoplasm of uncertain behaviour of respiratory or intrathoracic organs"
2F01,Neoplasm of uncertain behaviour of other specified sites,其他部位行为未定肿瘤,"Neoplasm of uncertain behaviour of other specified sites"
2F02,Neoplasm of uncertain behaviour of unspecified site,"行为未定肿瘤,未特指","Neoplasm of uncertain behaviour of unspecified site"
2F30,Benign neoplasm of trachea or bronchus,气管/支气管良性肿瘤,"Benign neoplasm of trachea or bronchus"
2F31,Benign neoplasm of lung,肺良性肿瘤,"Benign neoplasm of lung"
2F32,Benign neoplasm of mediastinum,纵隔良性肿瘤,"Benign neoplasm of mediastinum"
2F33,Benign neoplasm of thymus,胸腺良性肿瘤,"Benign neoplasm of thymus"
2F34,Benign neoplasm of other respiratory organs,其他呼吸器官良性肿瘤,"Benign neoplasm of other respiratory organs"
2F35,Benign neoplasm of ill-defined respiratory sites,呼吸系统未明确良性肿瘤,"Benign neoplasm of ill-defined respiratory sites"
2F80,Neoplasm of unspecified behaviour of respiratory organ,呼吸器官行为未指定肿瘤,"Neoplasm of unspecified behaviour of respiratory organ"
2F89,Neoplasm of unspecified behaviour of unspecified site,"行为未指定肿瘤,未特指","Neoplasm of unspecified behaviour of unspecified site"
